en	sv	ar	de	az	fr	eu	nl	ru	be	it	bg	es	ca	pl	vi	hr	ja	cs	da	pt	uk	eo	fa	et	sr	fi	no	id	gl	ko	ka	hu	el	ro	hi	tr	ms	sk	la	lv	lt	mk	sl	ur	th	ta	cy	af	sq	bn	tl	te	ht	sw	ga	is	gu	kn	yi
Stand up straight.	Stå upp rakt.	يقف مستقيما.	Steh gerade.	Dik dur.	Tiens toi droit.	Stand up zuzen.	Sta rechtop.	Встать прямо.	Устаньце прама.	In piedi dritto.	Стой изправен.	Párate derecho.	Parells dret.	Stój prosto.	Đứng thẳng lên.	Stanite uspravno.	まっすぐに立ちます。	Stát zpříma.	Stå oprejst.	Ficar em pé.	Встаньте прямо.	Stari rekte.	صاف بایستید.	Seisa sirgelt.	Усправно стајати.	Seistä suorana.	Stå rett.	Berdiri tegak.	Levante-se en liña recta.	똑바로 서.	აღუდგეს სწორი.	Állj egyenesen.	Ορθώσου.	Stai drept.	सीधे खड़े रहें।	dik dur.	Berdiri tegak.	Postavte sa rovno.	Consurge recta.	Nostājieties taisni.	Stovėk tiesiai.	Застанете исправено.	Stand up naravnost.	سیدھے کھرے ہو.	ยืนตัวตรง.	நிமிர்ந்து நில்.	Sefyll i fyny yn syth.	Staan regop.	Stand up drejtë.	সোজা দাঁড়ানো.	Tumayo tuwid.	నిటారుగా నిలబడి.	Kanpe dwat.	Kusimama wima.	Seas suas díreach.	Stattu upp beint.	સીધા અપ સ્ટેન્ડ.	ನೇರವಾಗಿ ಎದ್ದುನಿಲ್ಲುವ.	שטיין אַרויף גלייַך.
Did you get up?	Fick du upp?	هل استيقضت؟	Bist du aufgestanden?	Siz almaq mı?	Est-ce que vous vous levez?	Ba jaiki dituzu?	Ben je opgestaan?	Вы встаете?	Вы ўстаяце?	Forse ti alzi?	Знаете ли ставам?	¿Te levantaste?	T'has aixecat?	Wstałeś?	bạn đã thức dậy?	Jeste li ustati?	あなたは立ち上がっていましたか？	Dostali jste se?	Fik du op?	Você se levantou?	Ви встаєте?	Vi ellitiĝis?	آیا شما را تا دریافت؟	Kas sa ärkama?	Јесте ли устати?	Saitko ylös?	Fikk du opp?	Apakah Anda bangun?	Conseguiu-se?	당신이 일어나나요?	არ მიიღოთ up?	Keltél fel?	Μήπως σηκωθεί;	Ai luat în sus?	क्या तुम उठ गए थे?	Kalktın mı?	Adakah anda bangun?	Dostali ste sa?	Surgere fecit tibi?	Vai jums uz augšu?	Ar jūs gaunate į viršų?	Дали ќе станам?	Si prišel?	آپ کو حاصل تھا؟	คุณไม่ได้รับได้หรือไม่	நீங்கள் பெற்றீர்களா?	A wnaethoch chi gael i fyny?	Het jy opstaan?	A ju merrni deri?	আপনি আপ পেতে পারি?	Ibig makakuha ka up?	మీరు అప్ వచ్చాం?	Èske ou te jwenn a?	Je, kupata juu?	Ar éirigh tú?	Fékkstu upp?	તમે વિચાર કર્યો છે?	ನೀವು ಸಿಕ್ಕಿತೆ?	האט איר באַקומען אַרויף?
Stay there.	Stanna där.	ابقى هنا.	Bleib hier.	orada qalın.	Reste là.	Han egoten.	Blijf daar.	Оставайся там.	Заставайцеся там.	Stai lì.	Остане там.	Permanecer allí.	Quedat aqui.	Zostań tam.	Ở đó.	Ostani tamo.	そこに滞在。	Zůstaň tam.	Bliv der.	Fique lá.	Залишитися там.	Restu tie.	اقامت وجود دارد.	Püsi seal.	Остани тамо.	Pysy siellä.	Bli der.	Tetap disana.	Estar alí.	거기있어.	იქ დარჩენა.	Maradj ott.	Μείνε εδώ.	Stai aici.	वहाँ रहें।	Burada kal.	Tinggal di sana.	Zostaň tam.	Ibi manere.	Paliec tur.	Pasilik ten.	Остане таму.	Ostani tam.	وہاں رہنا.	อยู่ที่นั่น.	அங்கேயே இரு.	Aros yno.	Bly daar.	Qëndrojnë atje.	সেখানে থাক.	Manatili doon.	అక్కడే ఉండండి.	Rete la.	Kaa huko.	Fanacht ann.	Bíddu þarna.	ત્યાં રહો.	ಅಲ್ಲೇ ಇರು.	בלייַבן דאָרט.
Stand still.	Stå still.	تراوح مكانها.	Still stehen.	hələ durmaq.	Ne bouge pas.	Stand oraindik.	Blijf staan.	Стой.	Стой.	Stare fermi.	Постойте.	Estarse quieto.	Detingut.	Stać spokojnie.	Đứng yên.	Stajati na mjestu.	まだ立っています。	Klidu.	Stå stille.	Ficar parado.	Стій.	Staru senmove.	هنوز ایستاده.	Seiske paigal.	Стајати мирно.	Pysy paikallasi.	Stå stille.	Diam.	Estar parado.	가만히 서있다.	დავდგეთ მაინც.	Állni.	Να παραμείνει σε ακινησία.	Stai nemișcat.	अभी भी खड़े हो जाओ।	Hala durun.	Berdiri tegak.	Pokoja.	State ut consulam.	Nostāvēt.	Stovėti.	Застанете.	Stati pri miru.	اب بھی کھڑے ہیں.	ยกไว้	நில்லுங்கள்.	Sefyll yn llonydd.	Stilstaan.	Të qëndrojë ende.	এখনও দাঁড়ানো।	Tumayo pa rin.	ఇప్పటికీ సహకరించదు.	Toujou kanpe.	Kusimama bado.	Seasamh go fóill.	Standa enn.	હજુ સ્ટેન્ડ.	ಈಗಲೂ ಉಳಿದುಕೊಂಡಿವೆ.	שטיין נאָך.
There is no need to worry.	Det finns ingen anledning till oro.	ليست هناك حاجة للقلق.	Es gibt keinen Grund zur Sorge.	narahat ehtiyac yoxdur.	Il n'y a pas besoin de s'inquiéter.	Ez dago kezkatu beharrik.	Er is geen zorgen te maken.	Там нет необходимости беспокоиться.	Там няма неабходнасці турбавацца.	Non c'è bisogno di preoccuparsi.	Няма нужда да се притеснявате.	No hay necesidad de preocuparse.	No hi ha necessitat de preocupar-se.	Nie ma potrzeby się martwić.	Không cần phải lo lắng.	Nema potrebe brinuti.	心配する必要はありません。	Neexistuje žádný důvod k obavám.	Der er ingen grund til at bekymre sig.	Não há necessidade de se preocupar.	Там немає необхідності турбуватися.	Ne necesas zorgi.	هیچ جایی برای نگرانی وجود ندارد.	Ei ole vaja muretseda.	Нема потребе да се бринете.	Ei ole syytä huoleen.	Det er ingen grunn til bekymring.	Tidak ada yang perlu dikhawatirkan.	Non hai necesidade de se preocupar.	걱정할 필요가 없습니다.	არ არის საჭირო ფიქრი.	Nincs ok az aggodalomra.	Δεν υπάρχει λόγος να ανησυχείτε.	Nu este nevoie să vă faceți griji.	चिंता करने की कोई बात नहीं है।	Endişelenmeye gerek yok.	Tidak perlu risau.	Neexistuje žiadny dôvod na obavy.	Non est opus ut fatigo.	Nav jāuztraucas.	Nereikia nerimauti.	Нема потреба да се грижите.	Ni treba skrbeti.	فکر کرنے کی کوئی ضرورت نہیں ہے.	ไม่จำเป็นต้องกังวลไม่เป็น	கவலைப்பட வேண்டிய அவசியம் இல்லை.	Nid oes angen i chi boeni.	Daar is geen rede tot kommer.	Nuk ka nevojë për t'u shqetësuar.	চিন্তা করার কোন প্রয়োজন নেই।	May ay hindi na kailangang mag-alala.	ఆందోళన అవసరం ఉంది.	Pa gen okenn bezwen enkyete.	Hakuna haja ya kuwa na wasiwasi.	Níl aon gá imní.	Það er engin þörf að hafa áhyggjur.	ચિંતા કરવાની કોઈ જરૂર નથી.	ಚಿಂತೆ ಅಗತ್ಯವಿಲ್ಲ.	עס איז ניט דאַרפֿן צו זאָרג.
How long have you been standing here?	Hur länge har du stått här?	منذ متى وقفتم هنا؟	Wie lange haben Sie die hier stehen?	Nə qədər burada daimi var?	Depuis combien de temps avez-vous été debout ici?	Zenbat denbora hemen present egon zara?	Hoe lang heb je hier staan?	Как долго ты здесь стоишь?	Як доўга ты тут стаіш?	Quanto tempo sei qui in piedi?	Колко дълго стоите тук?	¿Cuánto tiempo ha estado de pie aquí?	Quant de temps ha estat de peu aquí?	Jak długo już tu stoją?	Bao lâu rồi bạn được đứng ở đây?	Koliko ste dugo stajati ovdje?	どのくらいあなたをここに立ってきましたか？	Jak dlouho jste stál tady?	Hvor længe har du stået her?	Quanto tempo você tem sido permanente aqui?	Як довго ти тут стоїш?	Kiom longe vi staras ĉi tie?	چه مدت شما شده است در اینجا ایستاده؟	Kui kaua olete seisnud siin?	Колико дуго сте стајали овде?	Kauanko olet seissyt täällä?	Hvor lenge har du stått her?	Berapa lama Anda telah berdiri di sini?	Canto tempo ten sido permanente aquí?	얼마나 당신을 서있다?	რამდენი ხანია უკვე დგანან?	Mióta álltok itt?	Πόσο καιρό έχετε να στέκεται εδώ;	Cât timp ai fost în picioare aici?	आप यहाँ कब तक खड़े कर रहे हैं?	Ne zamandır burada ayakta edilmiştir?	Berapa lama anda telah berdiri di sini?	Ako dlho ste stál tu?	Quamdiu hic stantes quid mihi et tibi est?	Cik ilgi tu esi bijis stāvot šeit?	Kaip ilgai jums buvo čia stovi?	Колку долго сте биле стои тука?	Kako dolgo že stojiš tukaj?	تم یہاں کتنی دیر تک کھڑے کئے گئے ہیں؟	นานแค่ไหนที่คุณได้รับการยืนอยู่ที่นี่?	எப்படி நீண்ட நீங்கள் இங்கே நின்று கொண்டிருக்கிறீர்கள்?	Pa mor hir ydych chi wedi bod yn sefyll yma?	Hoe lank het jy al hier staan?	Sa kohë keni qenë në këmbë këtu?	তুমি কতক্ষণ এখানে দাঁড়িয়ে করা হয়েছে?	Gaano ka na katagal nakatayo dito?	మీరు ఇక్కడ ఎంత నిలబడి చేశారు?	Depi konbyen tan ou te kanpe isit la?	muda gani mmesimama hapa?	Cén fhad a bhfuil tú ag seasamh anseo?	Hversu lengi hefur þú verið að standa hérna?	તમે અહીં કેવી રીતે લાંબા સમયથી કરવામાં આવી છે?	ಎಷ್ಟು ನೀವು ಇಲ್ಲಿ ನಿಂತು ಮಾಡಲಾಗಿದೆ?	ווי לאַנג האָבן איר שוין שטייענדיק דאָ?
He is 100 years old.	Han är 100 år gammal.	هو 100 سنة.	Er ist 100 Jahre alt.	O, 100 yaşı var.	Il est âgé de 100 ans.	100 urte ditu.	Hij is 100 jaar oud.	Он находится в 100 лет.	Ён знаходзіцца ў 100 гадоў.	Egli ha 100 anni.	Той е на 100 години.	Él tiene 100 años.	Ell té 100 anys.	Jest 100 lat.	Ông là 100 tuổi.	On je 100 godina.	彼は100歳です。	Je to 100 let.	Han er 100 år gammel.	Ele tem 100 anos.	Він знаходиться в 100 років.	Li estas 100 jaroj.	او 100 ساله است.	Ta on 100 aastat vana.	Он је 100 година.	Hän on 100 vuotta vanha.	Han er 100 år gammel.	Dia adalah 100 tahun.	Ten 100 anos.	그는 100 세입니다.	ის 100 წლისაა.	Ő 100 éves.	Είναι 100 ετών.	El este de 100 de ani.	उन्होंने कहा कि 100 साल पुराना है।	O 100 yaşında.	Ia sudah tua 100 tahun.	Je to 100 rokov.	C annorum est.	Viņš ir 100 gadus vecs.	Jis yra 100 metai.	Тој е 100 години.	On je star 100 let.	انہوں نے کہا کہ 100 سال پرانا ہے.	เขาอายุ 100 ปี	அவர் 100 ஆண்டுகள் பழமை வாய்ந்தது.	Mae'n 100 oed.	Hy is 100 jaar oud.	Ai është 100 vjeç.	তিনি 100 বছর পুরানো।	Siya ay 100 taong gulang.	అతను 100 సంవత్సరాల నాటిది.	Li se 100 ane fin vye granmoun.	Yeye ni umri wa miaka 100.	Tá sé 100 bliain d'aois.	Hann er 100 ára gamall.	તેણે 100 વર્ષ જૂનો છે.	ಅವರು 100 ವರ್ಷ ವಯಸ್ಸು.	ער איז 100 יאר אַלט.
Don't worry about your dog.	Oroa dig inte för din hund.	لا تقلق بشأن الكلب الخاص بك.	Sie nicht über Ihren Hund kümmern.	Sizin it narahat etməyin.	Ne vous inquiétez pas au sujet de votre chien.	Ez da zure txakurra kezkatu.	Maak je geen zorgen over je hond.	Не беспокойтесь о вашей собаке.	Не турбуйцеся аб вашай сабаку.	Non preoccuparti per il vostro cane.	Не се притеснявайте за вашето куче.	No se preocupe por su perro.	No es preocupi pel seu gos.	Nie martw się o swojego psa.	Đừng lo lắng về con chó của bạn.	Ne brinite o svom psu.	あなたの犬を心配しないでください。	Nebojte se o svého psa.	Må ikke bekymre dig om din hund.	Não se preocupe com o seu cão.	Не турбуйтеся про вашу собаку.	Ne maltrankviliĝu pri via hundo.	آیا در مورد سگ خود را نگران نباشید.	Ära muretse oma koera.	Не брините о свом псу.	Älä välitä koira.	Ikke bekymre deg for hunden din.	Jangan khawatir tentang anjing Anda.	Non te preocupes co seu can.	당신의 개에 대해 걱정하지 마십시오.	არ აღელვებს თქვენი ძაღლი.	Ne aggódj a kutya.	Μην ανησυχείτε για το σκυλί σας.	Nu-ți face griji câinele.	अपने कुत्ते के बारे में चिंता मत करो।	Köpeğinizin dert etmeyin.	Jangan bimbang tentang anjing anda.	Nebojte sa o svojho psa.	Nolite ergo solliciti esse tuus canis circa.	Neuztraucieties par savu suni.	Nesijaudinkite apie jūsų šuo.	Не се грижи за вашиот пес.	Ne skrbite za vašega psa.	اپنے کتے کے بارے میں فکر مت کرو.	ไม่ต้องกังวลเกี่ยวกับสุนัขของคุณ	உங்கள் நாய் பற்றி கவலைப்பட வேண்டாம்.	Peidiwch â phoeni am eich ci.	Moenie bekommerd wees oor jou hond.	Mos u shqetësoni për qen tuaj.	আপনার কুকুর সম্পর্কে চিন্তা করবেন না।	Huwag mag-alala tungkol sa iyong aso.	మీ కుక్క గురించి చింతించకండి.	pa enkyete sou chen ou yo.	Usijali kuhusu mbwa wako.	Ná bíodh imní ort faoi do mhadra.	Ekki hafa áhyggjur af hundinum þínum.	તમારા કૂતરો વિશે ચિંતા કરશો નહીં.	ನಿಮ್ಮ ನಾಯಿ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ.	דו זאלסט נישט זאָרג וועגן דיין הונט.
What are you worried about?	Vad oroar du dig för?	ما الذي أنت قلق بشأنه؟	Was beunruhigt Sie?	Nə narahat edir?	Qu'est-ce qui vous inquiète?	Zer kezkatuta zu?	Waar maak je je zorgen om?	Что вас беспокоит?	Што вас турбуе?	Di cosa sei preoccupato?	Какво се притесняваше за?	¿Qué te preocupa?	Què et preocupa?	Czym się martwisz?	bạn là gì lo lắng về?	Što zabrinuti?	あなたは何を心配していますか？	Co se bojíš?	Hvad er du bekymret for?	Com o que você está preocupado?	Що вас турбує?	Kion vi maltrankviligis?	نگران چه هستی؟	Mida te mures?	Шта ти бринем о томе?	Mitä sinä huolissaan?	Hva er du bekymret?	Apa yang kau khawatirkan?	O que está a preocupar?	당신은 무엇을 걱정?	რას აწუხებს?	Mi miatt aggódsz?	Τι ανησυχούν για?	De ce esti ingrijorat?	तुम किस बारे में चिंतित हो?	Ne hakkında endişeleniyorsun?	Apa yang anda bimbang tentang?	Čo sa bojíš?	Huius tu neque auctoritatem curare?	Ko jūs uztrauc?	Ką nerimauja?	Што ви се загрижени?	Kaj ste zaskrbljeni?	تمہیں کیا فکر ہے؟	สิ่งที่คุณกังวลเกี่ยวกับอะไร?	உன்னை பற்றி என்ன கவலைப்படுகின்றனர்?	Beth ydych chi'n poeni am?	Wat maak jy bekommerd oor?	Çfarë A jeni i shqetësuar në lidhje me?	তুমি কিসের বেপারে উদ্বিগ্ন?	Ano ikaw ay nag-aalala tungkol sa?	మీరు గురించి ఏమి చెబుతుంది?	Ki sa yo ou enkyete sou?	Je, ni wewe wasiwasi kuhusu?	Cad é atá tú buartha faoi?	Hvað ertu áhyggjur?	શું તમે વિશે ચિંતા છે?	ನೀವು ಬಗ್ಗೆ ಏನು ಆತಂಕಕ್ಕೊಳಗಾಗಿದ್ದಾರೆ?	וואָס זענען איר באַזאָרגט וועגן?
They must be worried.	De måste vara orolig.	ويجب ان نشعر بالقلق.	Sie müssen besorgt werden.	Onlar narahat olmalıdır.	Ils doivent être inquiets.	kezkatuta egon beharko dute.	Ze moeten worden bezorgd.	Они должны быть обеспокоены.	Яны павінны быць занепакоеныя.	Devono essere preoccupati.	Те трябва да се притесняват.	Deben estar preocupados.	Han d'estar preocupats.	muszą się martwić.	Họ phải lo lắng.	Oni moraju biti zabrinuti.	彼らは心配する必要があります。	Musí mít strach.	De skal være bekymret.	Eles devem estar preocupados.	Вони повинні бути стурбовані.	Ili devas esti maltrankviligita.	آنها باید نگران باشد.	Nad peavad olema mures.	Они морају бити забринути.	Ne on huolissaan.	De må være bekymret.	Mereka harus khawatir.	Deben estar preocupados.	그들은 걱정해야합니다.	მათ უნდა აწუხებს.	Ezeket meg kell aggódik.	Θα πρέπει να ανησυχούν.	Acestea trebuie să fie îngrijorat.	वे चिंतित होना चाहिए।	Onlar endişeli olmalıdır.	Mereka mesti bimbang.	Musí mať strach.	Debent esse sollicitus.	Tiem jābūt noraizējies.	Jie turi būti neramu.	Тие мора да бидат загрижени.	Morajo biti zaskrbljeni.	وہ فکر مند ہوگی.	พวกเขาจะต้องกังวล	அவர்கள் கவலைப்பட்டிருக்கவே வேண்டும்.	Rhaid iddynt gael eu poeni.	Hulle moet bekommerd wees.	Ato duhet të jenë të shqetësuar.	তারা চিন্তিত হতে হবে।	Sila ay dapat na nag-aalala.	వారు భయపడి చేయాలి.	Yo dwe enkyete.	Lazima kuwa na wasiwasi.	Ní mór dóibh a bheith buartha.	Þeir verða að vera áhyggjufull.	તેઓ ચિંતા હોવું જ જોઈએ.	ಅವರು ಚಿಂತೆ ಮಾಡಬೇಕು.	זיי מוזן זיין באַזאָרגט.
She will probably come.	Hon kommer förmodligen.	وقالت انها سوف تأتي على الارجح.	Sie wird wahrscheinlich kommen.	O, yəqin ki gələcək.	Elle va probablement venir.	Ziurrenik zuen etorri.	Ze zal waarschijnlijk komen.	Она, вероятно, придет.	Яна, верагодна, прыйдзе.	Lei probabilmente verrà.	Тя най-вероятно ще дойде.	Probablemente vendrá.	Probablement vindrà.	Ona będzie prawdopodobnie pochodzić.	Cô ấy có lẽ sẽ đến.	Ona će vjerojatno doći.	彼女はおそらく来ます。	Ona bude pravděpodobně přijde.	Hun vil sandsynligvis komme.	Ela provavelmente virá.	Вона, ймовірно, прийде.	Ŝi verŝajne venos.	او احتمالا خواهد آمد.	Ta ilmselt tulevad.	Она ће вероватно доћи.	Hän tulee luultavasti.	Hun vil trolig komme.	Dia mungkin akan datang.	Pode que virá.	그녀는 아마 올 것이다.	მან ალბათ მოვა.	Ő valószínűleg jön.	Θα έρθει κατά πάσα πιθανότητα.	Ea va veni, probabil.	वह शायद आ जाएगा।	Muhtemelen gelecek.	Dia mungkin akan datang.	Ona bude pravdepodobne príde.	Et erit verisimile venire.	Viņa, iespējams, nāks.	Ji tikriausiai ateis.	Таа веројатно ќе дојде.	Ona bo verjetno prišel.	وہ شاید آ جائے گا.	เธออาจจะมา	அவர் ஒருவேளை வரும்.	Bydd yn ôl pob tebyg yn dod.	Sy sal waarskynlik kom.	Ajo ndoshta do të vijë.	তিনি সম্ভবত আসবে।	Siya ay marahil darating.	ఆమె బహుశా వస్తాయి.	Li pral pwobableman vini.	Yeye pengine kuja.	Beidh sí ag teacht is dócha.	Hún mun líklega koma.	તેમણે કદાચ આવશે.	ಅವರು ಬಹುಶಃ ಬರುತ್ತದೆ.	זי וועט מיסטאָמע קומען.
You are probably working too hard.	Du är förmodligen arbetar för hårt.	ربما كنت تعمل من الصعب جدا.	Sie arbeiten wahrscheinlich zu hart.	Siz yəqin ki, çox çalışırıq.	Vous travaillez probablement trop dur.	Ziurrenik ari zara ere gogor lanean.	U bent waarschijnlijk te hard werken.	Вы, вероятно, слишком много работает.	Вы, верагодна, занадта шмат працуе.	Probabilmente si sta lavorando troppo.	Вие сте вероятно да работи твърде трудно.	Es probable que esté trabajando demasiado duro.	És probable que estigui treballant massa dur.	Prawdopodobnie pracuje zbyt ciężko.	Bạn có thể làm việc quá khó.	Vjerojatno se radi previše.	おそらく、あまりにも取り組んでいます。	Pravděpodobně jste pracoval příliš tvrdý.	Du er sandsynligvis arbejder for hårdt.	Você provavelmente está trabalhando demais.	Ви, ймовірно, занадто багато працює.	Vi verŝajne laboris tro malfacile.	شما احتمالا کار خیلی سخت است.	Sa ilmselt töötab liiga raske.	Вероватно се ради превише.	Olet todennäköisesti työskentelevät liian kovaa.	Du er sannsynligvis jobber for hardt.	Anda mungkin bekerja terlalu keras.	Probablemente está a traballar máis.	당신은 아마 너무 열심히 노력하고 있습니다.	თქვენ ალბათ მუშაობა ძალიან რთულია.	Ön valószínűleg túl keményen dolgozik.	Είστε πιθανώς εργάζονται πάρα πολύ σκληρά.	Tu, probabil, de lucru prea greu.	आप शायद बहुत कड़ी मेहनत कर रहे हैं।	Muhtemelen çok zor çalışıyoruz.	Anda mungkin bekerja terlalu keras.	Pravdepodobne ste pracoval príliš tvrdý.	Vos es forsit opus difficile.	Jūs, iespējams, strādā pārāk grūti.	Jūs tikriausiai dirba per sunkiai.	Вие најверојатно се работи премногу тешко.	Verjetno se preveč trdo delajo.	آپ نے شاید بہت مشکل کام کر رہے ہیں.	คุณอาจจะทำงานหนักเกินไป	ஒருவேளை நீங்கள் கூட கடுமையாக உழைத்து வருகின்றனர்.	Mae'n debyg eich bod gweithio'n rhy galed.	Jy is waarskynlik werk te hard.	Ju ndoshta jeni duke punuar shumë e vështirë.	আপনি সম্ভবত খুব কঠিন কাজ করছে।	Marahil ikaw ay nagtatrabaho masyadong matigas.	మీరు బహుశా చాలా శ్రమిస్తున్నారు.	Ou yo se pwobableman ap travay twò difisil.	Labda wewe ni kufanya kazi kwa bidii sana.	Tá tú ag obair go dócha ró-deacair.	Þú ert líklega að vinna of hart.	તમે કદાચ ખૂબ મુશ્કેલ કામ કરી રહ્યા છે.	ನೀವು ಬಹುಶಃ ತುಂಬಾ ಶ್ರಮಪಡುತ್ತಿದ್ದಾರೆ.	איר זענט מיסטאָמע אַרבעט אויך שווער.
In addition ...	För övrigt ...	بالاضافة ...	Zusätzlich ...	Əlavə olaraq ...	En plus ...	Gainera ...	Daarnaast ...	К тому же ...	У дадатак ...	Inoltre ...	В допълнение ...	Adicionalmente ...	A més ...	Dodatkowo ...	Ngoài ra ...	U Dodatku ...	加えて ...	Navíc ...	Ud over ...	Além do que, além do mais ...	На додачу ...	Krome ...	علاوه بر این ...	Lisaks ...	Додатно ...	Lisäksi ...	I tillegg ...	Tambahan ...	Ademáis ...	게다가 ...	გარდა ამისა ...	Továbbá ...	Επιπλέον ...	În plus ...	के अतिरिक्त ...	Ek olarak ...	Sebagai tambahan ...	Navyše ...	Autem ...	Papildus ...	Papildomai ...	Покрај тоа ...	Poleg tega ...	اس کے علاوہ ...	นอกจากนี้ ...	கூடுதலாக ...	Yn ychwanegol ...	Daarbenewens ...	Përveç kësaj ...	এছাড়াও ...	At saka ...	అదనంగా ...	An plis ...	Zaidi ya hayo ...	Freisin ...	Auk þess ...	વધુમાં ...	ಜೊತೆಗೆ ...	אין צוגאב ...
bad situation	dålig situation	حالة سيئة	schlechte Situation	pis vəziyyət	mauvaise situation	txarra egoera	slechte situatie	плохая ситуация	дрэнная сітуацыя	brutta situazione	лоша ситуация	mala situacion	mala situació	zła sytuacja	tình hình xấu	loša situacija	悪い状況	špatná situace	dårlig situation	situação ruim	Найгірша ситуація	malbona situacio	وضعیت بد	halb olukord	лоша ситуација	huono tilanne	dårlig situasjon	situasi yang buruk	situación malo	안좋은 상황	ცუდი სიტუაცია	rossz szituáció	ασχημη κατασταση	Situatie rea	ख़राब परिस्थिति	Kötü bir durum	situasi buruk	zlá situácia	statum mali	sliktā stāvoklī	bloga padėtis	лоша ситуација	slabe razmere	خراب صورت حال	สถานการณ์ที่เลวร้าย	மோசமான நிலைமை	sefyllfa wael	slegte situasie	situatë e keqe	খারাপ অবস্থা	masamang sitwasyon	చెడు పరిస్థితి	move sitiyasyon	hali mbaya	droch staid	slæmt ástand	ખરાબ પરિસ્થિતિ	ಕೆಟ್ಟ ಪರಿಸ್ಥಿತಿ	שלעכט סיטואַציע
I forgot to ask you.	Jag glömde att fråga dig.	لقد نسيت ان اسألك.	Ich habe vergessen dich zu fragen.	Mən xahiş unuttum.	J'ai oublié de te demander.	zuri galdetzeko ahaztu dut.	Ik ben je vergeten te vragen.	Я забыл спросить.	Я забыўся спытаць.	Ho dimenticato di chiederti.	Забравих да ви попитам.	Me olvidé de preguntarle.	Em vaig oblidar de preguntar-li.	Zapomniałam Cię spytać.	Tôi quên hỏi bạn.	Zaboravio sam te pitati.	私はあなたを頼むのを忘れていました。	Zapomněla jsem se tě zeptat.	Jeg glemte at spørge dig.	Eu esqueci de te perguntar.	Я забув запитати.	Mi forgesis demandi vin.	من را فراموش کرده به شما بپرسید.	Ma unustasin küsida.	Заборавио сам да те питам.	Unohdin kysyä.	Jeg glemte å spørre deg.	Aku lupa bertanya.	Eu esquezo de preguntar.	난 당신을 물어 잊어 버렸습니다.	დამავიწყდა გკითხოთ.	Elfelejtettem megkérdezni.	Ξέχασα να σας ρωτήσω.	Am uitat să te întreb.	मैं आपसे पूछना भूल गया।	Sana sormayı unuttum.	Saya terlupa untuk bertanya kepada anda.	Zabudla som sa ťa opýtať.	Oblitus sum postulaturus a uobis.	Es aizmirsu uzdot jums.	Aš pamiršau paklausti jus.	Заборавив да ве прашам.	Pozabil sem, da vas.	میں تم سے پوچھنا بھول گیا.	ฉันลืมที่จะขอให้คุณ	நான் உங்களிடம் கேட்க மறந்துவிட்டேன்.	Anghofiais i ofyn i chi.	Ek het vergeet om jou te vra.	Kam harruar të ju pyes.	আমি আপনাকে জিজ্ঞাসা করতে ভুলে গেছি।	Nakalimutan kong tanungin sa iyo.	నేను మీరు అడగండి మర్చిపోయారు.	Mwen bliye mande w.	Nimesahau kuuliza wewe.	Rinne mé dearmad a iarraidh ort.	Ég gleymdi að spyrja þig.	હું તમને પૂછી ભૂલી ગયા છો.	ನಾನು ಕೇಳಲು ಮರೆತುಹೋಗಿದೆ.	איך Forgot צו פרעגן איר.
Learn it.	Lära sig det.	تعلمه.	Lern es.	Bunu öyrən.	Apprend le.	Ikas da.	Leer het.	Узнать его.	ЖЖ гэта.	Imparalo.	Научи го.	Aprenderlo.	Aprendre-ho.	Naucz się tego.	Học nó.	Nauči.	学べ。	Nauč se to.	Lær det.	Aprenda.	ЖЖ це.	Lernu ĝin.	یاد بگیر.	Õpi seda.	Леарн то.	Opi se.	Lær det.	Pelajari itu.	Aprendela.	그것을 알아보세요.	Ისწავლე.	Tanuld meg.	Μάθε το.	Invata.	यह जानें।	Öğren.	Belajar.	Učiť ho.	Disce est.	Uzziniet to.	Išmok tai.	Научи го.	naučiti.	اسے سیکھو.	เรียนรู้มัน.	அது அறிக.	Dysgu.	Leer dit.	Mesoje.	এটা শিখো.	Matuto nang higit ito.	నేర్చుకో దీనిని.	Aprann li.	Jifunze yake.	Foghlaim é.	Læra það.	તે શીખો.	ಕಲಿ.	לערן עס.
